2024-12-24 10:57:25,722 INFO    MainThread:6080 [wandb_setup.py:_flush():68] Current SDK version is 0.19.1
2024-12-24 10:57:25,723 INFO    MainThread:6080 [wandb_setup.py:_flush():68] Configure stats pid to 6080
2024-12-24 10:57:25,723 INFO    MainThread:6080 [wandb_setup.py:_flush():68] Loading settings from C:\Users\user\.config\wandb\settings
2024-12-24 10:57:25,723 INFO    MainThread:6080 [wandb_setup.py:_flush():68] Loading settings from C:\Users\user\Downloads\PacMan\wandb\settings
2024-12-24 10:57:25,723 INFO    MainThread:6080 [wandb_setup.py:_flush():68] Loading settings from environment variables
2024-12-24 10:57:25,723 INFO    MainThread:6080 [wandb_init.py:_log_setup():528] Logging user logs to C:\Users\user\Downloads\PacMan\wandb\run-20241224_105725-idgexfxr\logs\debug.log
2024-12-24 10:57:25,724 INFO    MainThread:6080 [wandb_init.py:_log_setup():529] Logging internal logs to C:\Users\user\Downloads\PacMan\wandb\run-20241224_105725-idgexfxr\logs\debug-internal.log
2024-12-24 10:57:25,724 INFO    MainThread:6080 [wandb_init.py:init():644] calling init triggers
2024-12-24 10:57:25,724 INFO    MainThread:6080 [wandb_init.py:init():650] wandb.init called with sweep_config: {}
config: {'learning_rate': 1e-05, 'architecture': 'DQN', 'dataset': 'PACMAN', 'epochs': 100}
2024-12-24 10:57:25,724 INFO    MainThread:6080 [wandb_init.py:init():680] starting backend
2024-12-24 10:57:25,724 INFO    MainThread:6080 [wandb_init.py:init():684] sending inform_init request
2024-12-24 10:57:25,734 INFO    MainThread:6080 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2024-12-24 10:57:25,735 INFO    MainThread:6080 [wandb_init.py:init():697] backend started and connected
2024-12-24 10:57:25,736 INFO    MainThread:6080 [wandb_init.py:init():790] updated telemetry
2024-12-24 10:57:25,771 INFO    MainThread:6080 [wandb_init.py:init():822] communicating run to backend with 90.0 second timeout
2024-12-24 10:57:26,112 INFO    MainThread:6080 [wandb_init.py:init():874] starting run threads in backend
2024-12-24 10:57:26,166 INFO    MainThread:6080 [wandb_run.py:_console_start():2374] atexit reg
2024-12-24 10:57:26,166 INFO    MainThread:6080 [wandb_run.py:_redirect():2224] redirect: wrap_raw
2024-12-24 10:57:26,166 INFO    MainThread:6080 [wandb_run.py:_redirect():2289] Wrapping output streams.
2024-12-24 10:57:26,166 INFO    MainThread:6080 [wandb_run.py:_redirect():2314] Redirects installed.
2024-12-24 10:57:26,168 INFO    MainThread:6080 [wandb_init.py:init():916] run started, returning control to user process
